Symbol,Security Name
SHETHJI,SHREEJI GLOBAL FMCG LIMITED
SHIVALIK,SHIVALIK RASAYAN LIMITED
SHIVAMILLS,SHIVA MILLS LIMITED
SHREEDHAR,SHREEDHAR SPINNERS LIMITED
SHRENIK,SHRENIK LIMITED
SHRIAHIMSA,SHRI AHIMSA NATURALS LIMITED
SHRIKANHA,SHRI KANHA STAINLESS LIMITED
SHUBHLAXMI,SHUBHLAXMI JEWEL ART LIMITED
SHYAMCENT,SHYAM CENTURY FERROUS LIMITED
SHYAMDHANI,SHYAM DHANI INDUSTRIES LIMITED
SICALLOG,SICAL LOGISTICS LIMITED
SIDDHIKA,SIDDHIKA COATINGS LIMITED
SIGMAADV,SIGMA ADVANCED SYSTEMS LIMITED
SIGNORIA,SIGNORIA CREATION LIMITED
SILKFLEX,SILKFLEX POLYMERS (INDIA) LIMITED
SIMBHALS,SIMBHAOLI SUGARS LIMITED
SLONE,SLONE INFOSYSTEMS LIMITED
SMARTEN,SMARTEN POWER SYSTEMS LIMITED
SMARTLINK,SMARTLINK HOLDINGS LIMITED
SMVD,SMVD POLY PACK LIMITED
SNEHAA,SNEHAA ORGANICS LIMITED
SOCL,SUNDREX OIL COMPANY LIMITED
SONAL,SONAL MERCANTILE LIMITED
SONAMAC,SONA MACHINERY LIMITED
SONUINFRA,SONU INFRATECH LIMITED
SOTAC,SOTAC PHARMACEUTICALS LIMITED
SPCENET,SPACENET ENTERPRISES INDIA LIMITED
SPEB,SPEB ADHESIVES LIMITED
SPECTSTM,SPECTRUM TALENT MANAGEMENT LIMITED
SPPPOLY,SPP POLYMER LIMITED
SPRL,SP REFRACTORIES LIMITED
SRIVASAVI,SRIVASAVI ADHESIVE TAPES LIMITED
SSFL,SRIVARI SPICES AND FOODS LIMITED
STERTOOLS,STERLING TOOLS LIMITED
STLNETWORK,STL NETWORKS LIMITED
STUDIOLSD,STUDIO LSD LIMITED
SUNDRMBRAK,SUNDARAM BRAKE LININGS LIMITED
SUNLITE,SUNLITE RECYCLING INDUSTRIES LIMITED
SUNTECH,SUNTECH INFRA SOLUTIONS LIMITED
SUPREMEPWR,SUPREME POWER EQUIPMENT LIMITED
SUTLEJTEX,SUTLEJ TEXTILES AND INDUSTRIES LIMITED
SVLL,SHREE VASU LOGISTICS LIMITED
SWANDEF,SWAN DEFENCE AND HEAVY INDUSTRIES LIMITED
SWASTIK,SWASTIK PIPE LIMITED
SYLVANPLY,SYLVAN PLYBOARD (INDIA) LIMITED
SYNOPTICS,SYNOPTICS TECHNOLOGIES LIMITED
SYSTMTXC,SYSTEMATIX CORPORATE SERVICES LIMITED
TAC,TAC INFOSEC LIMITED
TAMBOLIIN,TAMBOLI INDUSTRIES LIMITED
TAPIFRUIT,TAPI FRUIT PROCESSING LIMITED
TARAPUR,TARAPUR TRANSFORMERS LIMITED
TCIFINANCE,TCI FINANCE LIMITED
TECHD,TECHD CYBERSECURITY LIMITED
TECHERA,TECHERA ENGINEERING (INDIA) LIMITED
TECHLABS,TRIDENT TECHLABS LIMITED
TEJA,TEJA ENGINEERING INDUSTRIES LIMITED
TEJASCARGO,TEJAS CARGO INDIA LIMITED
TERASOFT,TERA SOFTWARE LIMITED
TGL,TEERTH GOPICON LIMITED
THACKER,THACKER & COMPANY LIMITED
THAKDEV,THAKKERS DEVELOPERS LIMITED
THESL,THINKING HATS ENTERTAINMENT SOLUTIONS LIMITED
TIMESCAN,TIMESCAN LOGISTICS (INDIA) LIMITED
TIRUPATI,SHREE TIRUPATI BALAJEE FIBC LIMITED
TOKYOPLAST,TOKYO PLAST INTERNATIONAL LIMITED
TRANSWIND,TRANSWIND INFRASTRUCTURES LIMITED
TRIDHYA,TRIDHYA TECH LIMITED
UMESLTD,USHA MARTIN EDUCATION & SOLUTIONS LIMITED
UNIINFO,UNIINFO TELECOM SERVICES LIMITED
UNITECH,UNITECH LIMITED
UNITEDPOLY,UNITED POLYFAB GUJARAT LIMITED
UNIVPHOTO,UNIVERSUS PHOTO IMAGINGS LIMITED
USASEEDS,UPSURGE SEEDS OF AGRICULTURE LIMITED
UTKAL,UTKAL SPECIALITY INDUSTRIES INDIA LIMITED
UTLSOLAR,FUJIYAMA POWER SYSTEMS LIMITED
UWCSL,ULTRA WIRING CONNECTIVITY SYSTEM LIMITED
VALIANTLAB,VALIANT LABORATORIES LIMITED
VARDHACRLC,VARDHMAN ACRYLICS LIMITED
VASA,VASA RETAIL AND OVERSEAS LTD
VEEKAYEM,VEEKAYEM FASHION AND APPARELS LIMITED
VELJAN,VELJAN DENISON LIMITED
VELS,VELS FILM INTERNATIONAL LIMITED
VENUSREM,VENUS REMEDIES LIMITED
VERA,VERA SYNTHETIC LIMITED
VERITAAS,VERITAAS ADVERTISING LIMITED
VERTEXPLUS,VERTEXPLUS TECHNOLOGIES LIMITED
VETO,VETO SWITCHGEARS AND CABLES LIMITED
VICTORYEV,VICTORY ELECTRIC VEHICLES INTERNATIONAL LIMITED
VIDYAWIRES,VIDYA WIRES LIMITED
VIGOR,VIGOR PLAST INDIA LIMITED
VIJAYPD,VIJAYPD CEUTICAL LIMITED
VILINBIO,VILIN BIO MED LIMITED
VINEETLAB,VINEET LABORATORIES LIMITED
VIPCLOTHNG,VIP CLOTHING LIMITED
VIPULLTD,VIPUL LIMITED
VISACHROME,VISA CHROME LIMITED
VISHWAS,VISHWAS AGRI SEEDS LIMITED
VISL,VEDANTA IRON AND STEEL LIMITED
VITAL,VITAL CHEMTECH LIMITED
VIVIDEL,VIVID ELECTROMECH LIMITED
VIVO,VIVO COLLABORATION SOLUTIONS LIMITED
VLEGOV,VL E GOVERNANCE & IT SOLUTIONS LIMITED
VMOBILE,VINIT MOBILE LIMITED
VR,V R INFRASPACE LIMITED
VSCL,VADIVARHE SPECIALITY CHEMICALS LIMITED
WAAREEINDO,INDOSOLAR LIMITED
WALPAR,WALPAR NUTRITIONS LIMITED
WELINV,WELSPUN INVESTMENTS AND COMMERCIALS LIMITED
WEWIN,WE WIN LIMITED
WINNY,WINNY IMMIGRATION & EDUCATION SERVICES LIMITED
YUDIZ,YUDIZ SOLUTIONS LIMITED
ZENITHEXPO,ZENITH EXPORTS LIMITED
A2ZINFRA,A2Z INFRA ENGINEERING LIMITED
ABMINTLLTD,ABM INTERNATIONAL LIMITED
ACL,ANDHRA CEMENTS LIMITED
AEPL,ARTEMIS ELECTRICALS AND PROJECTS LIMITED
AMBAAUTO,AMBA AUTO SALES AND SERVICES LIMITED
ARTNIRMAN,ART NIRMAN LIMITED
ATLASCYCLE,ATLAS CYCLES (HARYANA) LIMITED
BLBLIMITED,BLB LIMITED
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED
CKKRETAIL,C K K RETAIL MART LIMITED
CMRGREEN,CMR GREEN TECHNOLOGIES LIMITED
CONFIPET,CONFIDENCE PETROLEUM INDIA LIMITED
CORDELIA,WATERWAYS LEISURE TOURISM LIMITED
CRIZAC,CRIZAC LIMITED
CTE,CAMBRIDGE TECHNOLOGY ENTERPRISES LIMITED
CURAA,CURA TECHNOLOGIES LIMITED
DIACABS,DIAMOND POWER INFRASTRUCTURE LIMITED
DJML,DJ MEDIAPRINT & LOGISTICS LIMITED
EFORCE,ELECTRO FORCE (INDIA) LIMITED
ELECTHERM,ELECTROTHERM (INDIA) LIMITED
ELGIRUBCO,ELGI RUBBER COMPANY LIMITED
ELPROINTL,ELPRO INTERNATIONAL LIMITED
FALCONTECH,FALCON TECHNOPROJECTS INDIA LIMITED
FINBUD,FINBUD FINANCIAL SERVICES LIMITED
GANGABATH,GANGA BATH FITTINGS LIMITED
GAYAHWS,GAYATRI HIGHWAYS LIMITED
GENESYS,GENESYS INTERNATIONAL CORPORATION LIMITED
GIRIRAJ,GIRIRAJ CIVIL DEVELOPERS LIMITED
GKENERGY,GK ENERGY LIMITED
GRMOVER,GRM OVERSEAS LIMITED
GSLSU,GLOBAL SURFACES LIMITED
GTL,GTL LIMITED
HAVISHA,SRI HAVISHA HOSPITALITY AND INFRASTRUCTURE LIMITED
HEXATRADEX,HEXA TRADEX LIMITED
ICDSLTD,ICDS LIMITED
ITALIANE,ITALIAN EDIBLES LIMITED
JAINIK,JAINIK POWER CABLES LIMITED
JITFINFRA,JITF INFRALOGISTICS LIMITED
JSWHL,JSW HOLDINGS LIMITED
KALANA,KALANA ISPAT LIMITED
KANDARP,KANDARP DIGI SMART BPO LIMITED
KARMAENG,KARMA ENERGY LIMITED
KAVDEFENCE,KAVVERI DEFENCE & WIRELESS TECHNOLOGIES LIMITED
KCK,KCK INDUSTRIES LIMITED
KODYTECH,KODY TECHNOLAB LIMITED
KORE,JAY JALARAM TECHNOLOGIES LIMITED
KREBSBIO,KREBS BIOCHEMICALS AND INDUSTRIES LIMITED
LANCORHOL,LANCOR HOLDINGS LIMITED
LAXMICOT,LAXMI COTSPIN LIMITED
LEXUS,LEXUS GRANITO (INDIA) LIMITED
LGEINDIA,LG ELECTRONICS INDIA LIMITED
LOYALTEX,LOYAL TEXTILE MILLS LIMITED
LPDC,LANDMARK PROPERTY DEVELOPMENT COMPANY LIMITED
MAGNUM,MAGNUM VENTURES LIMITED
MCL,M TEK COPPER LIMITED
MIDWESTLTD,MIDWEST LIMITED
MODTHREAD,MODERN THREADS (INDIA) LIMITED
MVKAGRO,M.V.K. AGRO FOOD PRODUCT LIMITED
NIBE,NIBE LIMITED
NIRAJISPAT,NIRAJ ISPAT INDUSTRIES LIMITED
PANACEABIO,PANACEA BIOTEC LIMITED
PANACHE,PANACHE DIGILIFE LIMITED
PARAS,PARAS DEFENCE AND SPACE TECHNOLOGIES LIMITED
PARASPETRO,PARAS PETROFILS LIMITED
PARKHOSPS,PARK MEDI WORLD LIMITED
PNC,PRITISH NANDY COMMUNICATIONS LIMITED
POLYSIL,POLYSIL IRRIGATION SYSTEMS LIMITED
PRESSTONIC,PRESSTONIC ENGINEERING LIMITED
RAJMET,RAJNANDINI METAL LIMITED
SAMBHAAV,SAMBHAAV MEDIA LIMITED
SCML,SHARP CHUCKS AND MACHINES LIMITED
SECMARK,SECMARK CONSULTANCY LIMITED
SGL,STL GLOBAL LIMITED
SHIVAUM,SHIV AUM STEELS LIMITED
SHREEJISPG,SHREEJI SHIPPING GLOBAL LIMITED
SOMATEX,SOMA TEXTILES & INDUSTRIES LIMITED
STYL,SESHAASAI TECHNOLOGIES LIMITED
SUMEET-RE,SUMEET INDUSTRIES LIMITED-RE
SUNFLAG,SUNFLAG IRON AND STEEL COMPANY LIMITED
SURANI,SURANI STEEL TUBES LIMITED
SUVIDHAA,SUVIDHAA INFOSERVE LIMITED
TARMAT,TARMAT LIMITED
TATACAP,TATA CAPITAL LIMITED
THANGAMAYL,THANGAMAYIL JEWELLERY LIMITED
TIJARIA,TIJARIA POLYPIPES LIMITED
TIRUPATIFL,TIRUPATI FORGE LIMITED
TREEHOUSE,TREE HOUSE EDUCATION & ACCESSORIES LIMITED
TREJHARA,TREJHARA SOLUTIONS LIMITED
TTL,T T LIMITED
USK,UDAYSHIVAKUMAR INFRA LIMITED
VCL,VAXTEX COTFAB LIMITED
VIKASECO,VIKAS ECOTECH LIMITED
VIKASLIFE,VIKAS LIFECARE LIMITED
VISAMAN,VISAMAN GLOBAL SALES LIMITED
VISHWARAJ,VISHWARAJ SUGAR INDUSTRIES LIMITED
VIVIDHA,VISAGAR POLYTEX LIMITED
ZEEMEDIA,ZEE MEDIA CORPORATION LIMITED
ZENITHSTL,ZENITH STEEL PIPES & INDUSTRIES LIMITED
ZSARACOM,SARASWATI COMMERCIAL INDIA LIMITED
3PLAND,3P LAND HOLDINGS LIMITED
63MOONS,63 MOONS TECHNOLOGIES LIMITED
AAATECH,AAA TECHNOLOGIES LIMITED
AAKASH,AAKASH EXPLORATION SERVICES LIMITED
AARADHYA,AARADHYA DISPOSAL INDUSTRIES LIMITED
AARNAV,AARNAV FASHIONS LIMITED
AARTIPHARM,AARTI PHARMALABS LIMITED
AARTISURF,AARTI SURFACTANTS LIMITED
AARVI,AARVI ENCON LIMITED
AATMAJ,AATMAJ HEALTHCARE LIMITED
ABBOTINDIA,ABBOTT INDIA LIMITED
ABCOTS,A B COTSPIN INDIA LIMITED
ABGSEC,ADITYABIRLASUNLIFEMF-ADITYA BIRLA SUN LIFE CRISIL BROAD BASED GILT ETF
ABHAPOWER,ABHA POWER AND STEEL LIMITED
ABINFRA,A B INFRABUILD LIMITED
ABMKNO,ABM KNOWLEDGEWARE LIMITED
ABNINT,A B N INTERCORP LIMITED
ABSL10BANK,ADITYA BIRLA SUN LIFE MF - ADITYA BIRLA SUN LIFE BSE TOP 10 BANKS ETF
ABSLBANETF,ADITYA BIRLA SUN LIFE NIFTY BANK ETF
ABSLMSCIN,ADITYA BIRLA SUN LIFE MF- ADITYA BIRLA SUN LIFE MSCI INDIA ETF
ABSLNN50ET,ADITYA BIRLA SUN LIFE NIFTY NEXT 50 ETF
ABSLPSE,ADITYA BIRLA SUN LIFE MUTUAL FUND-ADITYA BIRLA SUN LIFE NIFTY PSE ETF
ACC,ACC LIMITED
ACCELYA,ACCELYA SOLUTIONS INDIA LIMITED
ACCENTMIC,ACCENT MICROCELL LIMITED
ACEINTEG,ACE INTEGRATED SOLUTIONS LIMITED
ACETEC,ACETECH E-COMMERCE LIMITED
ACI,ARCHEAN CHEMICAL INDUSTRIES LIMITED
ACTIVEINFR,ACTIVE INFRASTRUCTURES LIMITED
ADFFOODS,ADF FOODS LIMITED
ADISOFT,ADISOFT TECHNOLOGIES LIMITED
ADL,ARCHIDPLY DECOR LIMITED
ADOR,ADOR WELDING LIMITED
ADROITINFO,ADROIT INFOTECH LIMITED
ADSL,ALLIED DIGITAL SERVICES LIMITED
ADVAIT,ADVAIT ENERGY TRANSITIONS LIMITED
ADVANCE,ADVANCE AGROLIFE LIMITED
ADVANIHOTR,ADVANI HOTELS & RESORTS (INDIA) LIMITED
ADVENTHTL,ADVENT HOTELS INTERNATIONAL LIMITED
ADVENZYMES,ADVANCED ENZYME TECHNOLOGIES LIMITED
AEQUS,AEQUS LIMITED
AEROENTER,AEROFLEX ENTERPRISES LIMITED
AERON,AERON COMPOSITE LIMITED
AERONEU,AEROFLEX NEU LIMITED
AESTHETIK,AESTHETIK ENGINEERS LIMITED
AETHER,AETHER INDUSTRIES LIMITED
AFSL,ABANS FINANCIAL SERVICES LIMITED
AGARIND,AGARWAL INDUSTRIAL CORPORATION LIMITED
AGARWALEYE,DR. AGARWAL'S HEALTH CARE LIMITED
AGARWALTUF,AGARWAL TOUGHENED GLASS INDIA LIMITED
AGI,AGI GREENPAC LIMITED
AGIIL,AGI INFRA LIMITED
AGROPHOS,AGRO PHOS INDIA LIMITED
AHCL,ANLON HEALTHCARE LIMITED
AHLADA,AHLADA ENGINEERS LIMITED
AHLEAST,ASIAN HOTELS (EAST) LIMITED
AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LIMITED
AIAENG,AIA ENGINEERING LIMITED
AIIL,AUTHUM INVESTMENT & INFRASTRUCTURE LIMITED
AIMTRON,AIMTRON ELECTRONICS LIMITED
AIRAN,AIRAN LIMITED
AIROLAM,AIRO LAM LIMITED
AJANTPHARM,AJANTA PHARMA LIMITED
AJMERA,AJMERA REALTY & INFRA INDIA LIMITED
AJOONI,AJOONI BIOTECH LIMITED
AKASH,AKASH INFRA PROJECTS LIMITED
AKCAPIT,AK CAPITAL SERVICES LIMITED
AKG,AKG EXIM LIMITED
AKI,AKI INDIA LIMITED
AKSHAR,AKSHAR SPINTEX LIMITED
ALANKIT,ALANKIT LIMITED
ALBERTDAVD,ALBERT DAVID LIMITED
ALEMBICLTD,ALEMBIC LIMITED
ALGOQUANT,ALGOQUANT FINTECH LIMITED
ALICON,ALICON CASTALLOY LIMITED
ALIVUS,ALIVUS LIFE SCIENCES LIMITED
ALKYLAMINE,ALKYL AMINES CHEMICALS LIMITED
ALLCARGO,ALLCARGO LOGISTICS LIMITED
ALLDIGI,ALLDIGI TECH LIMITED
ALLTIME,ALL TIME PLASTICS LIMITED
ALMONDZ,ALMONDZ GLOBAL SECURITIES LIMITED
ALOKINDS,ALOK INDUSTRIES LIMITED
ALPA,ALPA LABORATORIES LIMITED
ALPEXSOLAR,ALPEX SOLAR LIMITED
ALPHA,KOTAK MAHINDRA MUTUAL FUND - KOTAK NIFTY ALPHA 50 ETF
ALPHAETF,MIRAE ASSET MUTUAL FUND - MIRAE ASSET NIFTY 200 ALPHA 30 ETF
ALPHAGEO,ALPHAGEO (INDIA) LIMITED
ALPL30IETF,ICICI PRUDENTIAL NIFTY ALPHA LOW VOLATILITY 30 ETF
ALUWIND,ALUWIND INFRA-TECH LIMITED
AMAGI,AMAGI MEDIA LABS LIMITED
AMBALALSA,AMBALAL SARABHAI ENTERPRISES LIMITED
AMBICAAGAR,AMBICA AGARBATHIES & AROMA INDUSTRIES LIMITED
AMBIKCO,AMBIKA COTTON MILLS LIMITED
AMCL,ANB METAL CAST LIMITED
AMDIND,AMD INDUSTRIES LIMITED
AMIABLE,AMIABLE LOGISTICS (INDIA) LIMITED
AMJLAND,AMJ LAND HOLDINGS LIMITED
AMNPLST,AMINES & PLASTICIZERS LIMITED
AMRUTANJAN,AMRUTANJAN HEALTH CARE LIMITED
ANANTAM,ANANTAM HIGHWAYS TRUST
ANDHRAPAP,ANDHRA PAPER LIMITED
ANDHRSUGAR,THE ANDHRA SUGARS LIMITED
ANMOL,ANMOL INDIA LIMITED
ANNAPURNA,ANNAPURNA SWADISHT LIMITED
ANONDITA,ANONDITA MEDICARE LIMITED
ANTGRAPHIC,ANTARCTICA LIMITED
ANTHEM,ANTHEM BIOSCIENCES LIMITED
ANUHPHR,ANUH PHARMA LIMITED
ANUP,THE ANUP ENGINEERING LIMITED
ANYA,ANYA POLYTECH & FERTILIZERS LIMITED
ANZEN,ANZEN INDIA ENERGY YIELD PLUS TRUST
AONEGOLD,ANGEL ONE MUTUAL FUND - ANGEL ONE GOLD ETF
AONENIFTY,ANGEL ONE MUTUAL FUND - ANGEL ONE NIFTY 50 ETF
AONESILVER,ANGEL ONE MUTUAL FUND - ANGEL ONE SILVER ETF
AONETMMQ50,ANGEL ONE MF - ANGEL ONE NIFTY TOTAL MARKET MOMENTUM QUALITY 50 ETF
AONETOTAL,ANGEL ONE MUTUAL FUND - ANGEL ONE NIFTY TOTAL MARKET ETF
APCL,ANJANI PORTLAND CEMENT LIMITED
APCOTEXIND,APCOTEX INDUSTRIES LIMITED
APEX,APEX FROZEN FOODS LIMITED
APLLTD,ALEMBIC PHARMACEUTICALS LIMITED
APOLLO,APOLLO MICRO SYSTEMS LIMITED
APOLLOPIPE,APOLLO PIPES LIMITED
APOLLOTYRE,APOLLO TYRES LIMITED
APOLSINHOT,APOLLO SINDOORI HOTELS LIMITED
APRAMEYA,APRAMEYA ENGINEERING LIMITED
APS,AUSTRALIAN PREMIUM SOLAR (INDIA) LIMITED
ARABIAN,ARABIAN PETROLEUM LIMITED
ARCHIDPLY,ARCHIDPLY INDUSTRIES LIMITED
ARCHIES,ARCHIES LIMITED
AREM,AMARA RAJA ENERGY & MOBILITY LIMITED
ARENTERP,RAJDARSHAN INDUSTRIES LIMITED
ARFIN,ARFIN INDIA LIMITED
ARHAM,ARHAM TECHNOLOGIES LIMITED
ARIES,ARIES AGRO LIMITED
ARIHANT,ARIHANT FOUNDATIONS & HOUSING LIMITED
ARIHANTACA,ARIHANT ACADEMY LIMITED
ARIHANTCAP,ARIHANT CAPITAL MARKETS LIMITED
ARIHANTSUP,ARIHANT SUPERSTRUCTURES LIMITED
ARIS,ARISINFRA SOLUTIONS LIMITED
ARKADE,ARKADE DEVELOPERS LIMITED
ARMANFIN,ARMAN FINANCIAL SERVICES LIMITED
AROGRANITE,ARO GRANITE INDUSTRIES LIMITED
ARSSBL,ANAND RATHI SHARE AND STOCK BROKERS LIMITED
ARTEMISMED,ARTEMIS MEDICARE SERVICES LIMITED
ARVEE,ARVEE LABORATORIES (INDIA) LIMITED
ARVIND,ARVIND LIMITED
ARVINDFASN,ARVIND FASHIONS LIMITED
ARVSMART,ARVIND SMARTSPACES LIMITED
ASAHISONG,ASAHI SONGWON COLORS LIMITED
ASAL,AUTOMOTIVE STAMPINGS AND ASSEMBLIES LIMITED
ASALCBR,ASSOCIATED ALCOHOLS & BREWERIES LTD.
ASHALOG,ASHAPURA LOGISTICS LIMITED
ASHAPURMIN,ASHAPURA MINECHEM LIMITED
ASHIANA,ASHIANA HOUSING LIMITED
ASHIKA,ASHIKA CREDIT CAPITAL LIMITED
ASHIMASYN,ASHIMA LIMITED
ASHOKA,ASHOKA BUILDCON LIMITED
ASHOKAMET,ASHOKA METCAST LIMITED
ASHWINI,ASHWINI CONTAINER MOVERS LIMITED
ASIANENE,ASIAN ENERGY SERVICES LIMITED
ASIANHOTNR,ASIAN HOTELS (NORTH) LIMITED
ASIANTILES,ASIAN GRANITO INDIA LIMITED
ASKAUTOLTD,ASK AUTOMOTIVE LIMITED
ASPINWALL,ASPINWALL AND COMPANY LIMITED
ASTAR,ASIAN STAR COMPANY LIMITED
ASTEC,ASTEC LIFESCIENCES LIMITED
ASTRAMICRO,ASTRA MICROWAVE PRODUCTS LIMITED
ASTRAZEN,ASTRAZENECA PHARMA INDIA LIMITED
ATALREAL,ATAL REALTECH LIMITED
ATAM,ATAM VALVES LIMITED
ATGL,ADANI TOTAL GAS LIMITED
ATL,ALLCARGO TERMINALS LIMITED
ATLANTAA,ATLANTAA LIMITED
ATLPP,ALLCARGO TERMINALS LIMITED
ATULAUTO,ATUL AUTO LIMITED
AURIONPRO,AURIONPRO SOLUTIONS LIMITED
AURUM,AURUM PROPTECH LIMITED
AUTOAXLES,AUTOMOTIVE AXLES LIMITED
AUTOBEES,NIPPON INDIA MUTUAL FUND - NIPPON INDIA NIFTY AUTO ETF
AUTOIETF,ICICI PRUDENTIAL MUTUAL FUND - ICICI PRUDENTIAL  NIFTY AUTO ETF
AVALON,AVALON TECHNOLOGIES LIMITED
AVANTEL,AVANTEL LIMITED
AVANTIFEED,AVANTI FEEDS LIMITED
AVIANSH,AVI ANSH TEXTILE LIMITED
AVIENCE,AVIENCE BIOMEDICALS LIMITED
AVL,ADITYA VISION LIMITED
AVONMORE,AVONMORE CAPITAL & MANAGEMENT SERVICES  LIMITED
AVROIND,AVRO INDIA LIMITED
AVTNPL,AVT NATURAL PRODUCTS LIMITED
AWFIS,AWFIS SPACE SOLUTIONS LIMITED
AWHCL,ANTONY WASTE HANDLING CELL LIMITED
AWL,AWL AGRI BUSINESS LIMITED
AXITA,AXITA COTTON LIMITED
AYE,AYE FINANCE LIMITED
AYMSYNTEX,AYM SYNTEX LIMITED
AZAD,AZAD ENGINEERING LIMITED
BABAFP,BABA FOOD PROCESSING (INDIA) LIMITED
BAGDIGITAL,B.A.G. CONVERGENCE LIMITED
BAGFILMS,B.A.G FILMS AND MEDIA LIMITED
BAGMANE,BAGMANE PRIME OFFICE REIT
BAHETI,BAHETI RECYCLING INDUSTRIES LIMITED
BAIDFIN,BAID FINSERV LIMITED
BAJAJCON,BAJAJ CONSUMER CARE LIMITED
BAJAJELEC,BAJAJ ELECTRICALS LIMITED
BAJAJHCARE,BAJAJ HEALTHCARE LIMITED
BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LIMITED
BAJAJINDEF,INDEF MANUFACTURING LIMITED
BAJAJST,BAJAJ STEEL INDS. LIMITED
BAJEL,BAJEL PROJECTS LIMITED
BALAJEE,SHREE TIRUPATI BALAJEE AGRO TRADING COMPANY LIMITED
BALAJIPHOS,BALAJI PHOSPHATES LIMITED
BALAJITELE,BALAJI TELEFILMS LIMITED
BALAMINES,BALAJI AMINES LIMITED
BALKRISHNA,BALKRISHNA PAPER MILLS LIMITED
BALKRISIND,BALKRISHNA INDUSTRIES LIMITED
BALMLAWRIE,BALMER LAWRIE & COMPANY LIMITED
BALPHARMA,BAL PHARMA LIMITED
BALUFORGE,BALU FORGE INDUSTRIES LIMITED
BANARBEADS,BANARAS BEADS LIMITED
BANARISUG,BANNARI AMMAN SUGARS LIMITED
BANCOINDIA,BANCO PRODUCTS (I) LIMITED
BANG,BANG OVERSEAS LIMITED
BANK10ADD,DSP MUTUAL FUND - DSP BSE TOP 10 BANKS ETF
BANKADD,DSP  MUTUAL FUND - DSP NIFTY BANK ETF
BANKBEES,NIPPON INDIA ETF NIFTY BANK BEES
BANKBETA,UTI NIFTY BANK ETF
BANKBETF,BAJAJ FINSERV MUTUAL FUND - BAJAJ FINSERV NIFTY BANK ETF
BANKETF,MIRAE ASSET MUTUAL FUND - MIRAE ASSET NIFTY BANK ETF
BANKIETF,ICICI PRUDENTIAL NIFTY BANK ETF - NIFTY BANK INDEX
BANKNIFTY1,KOTAK NIFTY BANK ETF
BANKPSU,MIRAE ASSET MUTUAL FUND - MIRAE ASSET NIFTY PSU BANK ETF
BANSWRAS,BANSWARA SYNTEX LIMITED
BARFLEX,BARFLEX POLYFILMS LIMITED
BASF,BASF INDIA LIMITED
BASILIC,BASILIC FLY STUDIO LIMITED
BATLIBOI,BATLIBOI LIMITED
BBETF0432,EDELWEISS MUTUAL FUND - BHARAT BOND ETF - APRIL 2032 - GROWTH
BBL,BHARAT BIJLEE LIMITED
BBNPNBETF,BARODA BNP PARIBAS MUTUAL FUND- BARODA BNP PARIBAS NIFTY BANK ETF
BBNPPGOLD,BARODA BNP PARIBAS MUTUAL FUND - BARODA BNP PARIBAS GOLD ETF
BBTCL,B&B TRIPLEWALL CONTAINERS LIMITED
BCG,BRIGHTCOM GROUP LIMITED
BCLIND,BCL INDUSTRIES LIMITED
BCONCEPTS,BRAND CONCEPTS LIMITED
BCPL,BCPL RAILWAY INFRASTRUCTURE LIMITED
BEARDSELL,BEARDSELL LIMITED
BECTORFOOD,MRS. BECTORS FOOD SPECIALITIES LIMITED
BEEKAY,BEEKAY STEEL INDS. LIMITED
BELLACASA,BELLA CASA FASHION & RETAIL LIMITED
BENGALASM,BENGAL & ASSAM CO. LIMITED
BEPL,BHANSALI ENGINEERING POLYMERS LIMITED
BERGEPAINT,BERGER PAINTS (I) LIMITED
BESTAGRO,BEST AGROLIFE LIMITED
BETA,BETA DRUGS LIMITED
BFINVEST,BF INVESTMENT LIMITED
BFSI,MIRAE ASSET MUTUAL FUND - MIRAE ASSET NIFTY FINANCIAL SERVICES ETF
BFUTILITIE,BF UTILITIES LIMITED
BHAGCHEM,BHAGIRADHA CHEMICALS & INDUSTRIES LIMITED
BHARATCOAL,BHARAT COKING COAL LIMITED
BHARATRAS,BHARAT RASAYAN LIMITED
BHARATSE,BHARAT SEATS LIMITED
BHARATWIRE,BHARAT WIRE ROPES LIMITED
BHARTIHEXA,BHARTI HEXACOM LIMITED
BI,BILCARE LIMITED
BIGBLOC,BIGBLOC CONSTRUCTION LIMITED
BIL,BHARTIYA INTERNATIONAL LIMITED
BIMETAL,BIMETAL BEARINGS LIMITED
BIOFILCHEM,BIOFIL CHEMICALS & PHARMACEUTICALS LIMITED
BIOPOL,BIOPOL CHEMICALS LIMITED
BIRET,BROOKFIELD INDIA REAL ESTATE TRUST
BIRLACORPN,BIRLA CORPORATION LIMITED
BIRLAMONEY,ADITYA BIRLA MONEY LIMITED
BIRLANU,BIRLANU LIMITED
BIRLAPREC,BIRLA PRECISION TECHNOLOGIES LIMITED
BLACKBUCK,BLACKBUCK LIMITED
BLAL,BEML LAND ASSETS LIMITED
BLIL,BALMER LAWRIE INVESTMENTS LIMITED
BLKASHYAP,B. L. KASHYAP AND SONS LIMITED
BLSE,BLS E-SERVICES LIMITED
BLUEPEBBLE,BLUE PEBBLE LIMITED
BLUESTONE,BLUESTONE JEWELLERY AND LIFESTYLE LIMITED
